query,intent
asking about the measurement required in preparation of vermicompost in tank.,1. Soil Data
asking about the soil condition of citrus,1. Soil Data
asking about the source of training of vermicompost.,1. Soil Data
asking about soil testing.,1. Soil Data
asking for the soil testing process,1. Soil Data
asking about soil testing .,1. Soil Data
asking about for soil testing.,1. Soil Data
asking about soil testing,1. Soil Data
asking about soil health card,1. Soil Data
asking for the supplementary doseb npk  as foliar spray,1. Soil Data
asking about organic manure,1. Soil Data
asking about the soil test,1. Soil Data
asking about the procedure to obtain soil health card.,1. Soil Data
asking from where to get soil health card,1. Soil Data
query regarding soil testing.,1. Soil Data
"asking about fungal rot in arecanut, contact detail for soil testing, goatery and dairy training facilities, forage crops.",1. Soil Data
asking about soil health card.,1. Soil Data
want to know about soil testing,1. Soil Data
query regarding application of cow dung,1. Soil Data
asking about advantages of vermicompost,1. Soil Data
soil testing,1. Soil Data
asking about vermicompost use in field,1. Soil Data
query regarding application of npk in paddy,1. Soil Data
asking about the soil testing,1. Soil Data
asking about the procedure for preparation of vermicompost.,1. Soil Data
asking about the soil testing facilities .,1. Soil Data
asking about soil health card,1. Soil Data
 query regarding fertility of some egg in  incubator { hand made } ,1. Soil Data
asking about dose npk and sowing time of ground nut ,1. Soil Data
"asking about dose of npk to be applied to paddy.
",1. Soil Data
"asking about iffco npk fertilizer dose
",1. Soil Data
query regarding soil test.,1. Soil Data
asking about soil testing procedure.,1. Soil Data
asking about using of cow dung in fish pond .,1. Soil Data
"asking about the adderess of krishi vigyan kendra,dhubri,assam for soil testing.",1. Soil Data
asking baout kvk address for soil testing,1. Soil Data
want to know about soil testing,1. Soil Data
asking about soil testing,1. Soil Data
asking about npk appication,1. Soil Data
asking about soil testing.,1. Soil Data
asking about method of soil testing,1. Soil Data
asking about the soil testing procedure.,1. Soil Data
asking about the vermicompost technology,1. Soil Data
query regarding preparation of vermicompost.,1. Soil Data
query regarding vermicompost,1. Soil Data
wanted to know the name of the contact address of kvk dhubri district of assam for soil testing.,1. Soil Data
asking about the soil testing,1. Soil Data
sking about dose of npk all in chilli,1. Soil Data
asking about soil testing ,1. Soil Data
asking about soil testing ,1. Soil Data
asking about the application of npk in arecanut .,1. Soil Data
"asking about npk 19 all dose
",1. Soil Data
asking about subsidy scheme for opening a soil testing laboratory and kisan credit card. ,1. Soil Data
asking about soil health card,1. Soil Data
asking about the dose of vermicompost.,1. Soil Data
asking about the micronutrient for upgrading soil status and fertility.,1. Soil Data
nearest soil testing lab,1. Soil Data
asking for soil testing,1. Soil Data
asking about source of earthworm for vermicompost preparation,1. Soil Data
asking about availibility of earth worm for vermicompost production.,1. Soil Data
asking about vermicompost preparation,1. Soil Data
asking about where soil testing can be done,1. Soil Data
asking for phone numbers of soil testing laboratory of guwahati.,1. Soil Data
asking about the how to grow vermicompost,1. Soil Data
asking about vermicompost details.,1. Soil Data
asking  npk dose in paddy,1. Soil Data
asking about the vermicompost,1. Soil Data
